date,open,high,low,close
2023-09-14,162.904,163.296,161.474,161.924
2023-09-15,162.305,163.398,161.418,162.99
2023-09-18,163.228,164.245,162.776,163.951
2023-09-19,164.131,164.853,162.251,163.018
2023-09-20,162.965,163.914,162.641,163.647
2023-09-21,163.533,165.485,162.906,164.835
2023-09-22,164.91,165.081,163.972,164.327
2023-09-25,164.305,164.493,163.357,163.832
2023-09-26,163.879,164.056,163.721,163.964
2023-09-27,164.217,165.021,163.319,164.488
2023-09-28,164.456,166.033,163.714,165.282
2023-09-29,164.796,165.632,164.341,165.077
2023-10-02,165.083,165.826,163.395,164.281
2023-10-03,164.325,164.657,163.663,164.132
2023-10-04,164.072,165.016,163.76,164.421
2023-10-05,164.038,164.285,163.588,163.941
2023-10-06,163.835,166.131,163.41,165.898
2023-10-09,165.995,166.404,165.341,166.023
2023-10-10,165.95,168.448,165.027,167.538
2023-10-11,167.177,168.111,167.004,167.871
2023-10-12,167.228,170.132,166.595,169.671
2023-10-13,169.769,170.456,169.473,170.169
2023-10-16,170.227,170.46,168.752,169.392
2023-10-17,169.24,170.355,168.883,169.931
2023-10-18,169.851,171.109,169.188,170.911
2023-10-19,170.95,172.331,170.45,171.322
2023-10-20,171.591,174.504,170.664,173.954
2023-10-23,173.95,174.207,173.645,174.015
2023-10-24,174.568,174.98,172.577,173.562
2023-10-25,173.899,174.431,173.68,174.163
2023-10-26,173.892,174.473,172.808,174.243
2023-10-27,173.949,175.752,173.632,174.873
2023-10-30,174.78,174.919,174.053,174.298
2023-10-31,174.559,175.86,173.862,175.093
2023-11-01,174.963,175.626,174.066,175.124
2023-11-02,175.181,175.637,172.587,173.148
2023-11-03,173.185,175.003,172.686,174.549
2023-11-06,174.333,175.76,173.638,175.212
2023-11-07,175.11,175.707,174.017,174.542
2023-11-08,174.341,175.717,173.538,175.388
2023-11-09,175.178,175.457,174.186,174.935
2023-11-10,174.673,175.08,173.121,173.828
2023-11-13,173.66,173.968,171.696,172.732
2023-11-14,172.678,174.3,172.362,173.746
2023-11-15,173.794,174.004,171.8,172.518
2023-11-16,172.46,173.135,170.872,171.267
2023-11-17,171.017,171.329,170.46,171.153
2023-11-20,171.273,172.557,170.653,171.493
2023-11-21,171.943,172.165,170.804,171.411
2023-11-22,171.379,171.905,170.531,170.715
2023-11-23,170.134,171.247,169.553,170.227
2023-11-24,170.334,172.733,169.829,171.948
2023-11-27,171.953,172.224,170.549,171.031
2023-11-28,171.031,172.189,170.725,171.762
2023-11-29,171.946,173.52,171.106,173.303
2023-11-30,173.311,174.951,172.699,174.744
2023-12-01,175.091,176.527,174.662,176.123
2023-12-04,176.35,177.022,175.905,176.807
2023-12-05,176.996,178.347,176.253,177.937
2023-12-06,177.501,179.608,177.015,179.376
2023-12-07,179.43,180.099,178.804,179.484
2023-12-08,179.48,180.664,179.138,180.359
2023-12-11,180.481,181.706,180.234,181.491
2023-12-12,181.881,182.313,180.739,181.337
2023-12-13,181.222,182.278,179.892,181.894
2023-12-14,182.082,182.514,179.308,179.507
2023-12-15,179.653,181.19,179.332,180.532
2023-12-18,180.96,181.749,180.478,181.569
2023-12-19,181.635,182.469,180.434,180.75
2023-12-20,180.507,183.018,179.235,182.253
2023-12-21,182.297,183.862,180.426,181.779
2023-12-22,181.605,182.395,181.027,181.43
2023-12-25,181.816,182.896,180.643,182.577
2023-12-26,182.449,183.066,181.683,182.347
2023-12-27,182.138,182.473,181.628,181.954
2023-12-28,182.118,182.633,180.314,180.666
2023-12-29,180.89,182.203,180.042,180.641
2024-01-01,180.378,181.604,179.469,180.937
2024-01-02,180.667,180.891,179.348,179.439
2024-01-03,179.171,180.48,178.691,180.268
2024-01-04,180.267,181.044,179.849,180.601
2024-01-05,180.567,180.776,179.316,179.462
2024-01-08,179.231,180.021,177.19,177.671
2024-01-09,177.831,178.337,177.033,177.612
2024-01-10,177.093,177.702,175.698,176.082
2024-01-11,175.994,176.576,175.856,176.006
2024-01-12,175.948,176.667,175.203,176.264
2024-01-15,176.342,176.501,175.3,175.745
2024-01-16,175.996,176.288,174.109,174.832
2024-01-17,175.117,175.407,174.073,174.291
2024-01-18,174.184,175.743,173.953,175.449
2024-01-19,175.445,176.698,175.264,176.501
2024-01-22,176.719,177.936,176.303,177.357
2024-01-23,177.394,178.532,177.079,178.219
2024-01-24,178.078,179.384,177.583,178.811
2024-01-25,178.612,179.276,176.703,177.132
2024-01-26,177.066,177.596,175.381,175.854
2024-01-29,175.755,177.392,175.511,176.787
2024-01-30,176.729,177.908,176.114,177.291
2024-01-31,177.256,177.937,175.76,176.11
2024-02-01,176.227,177.756,175.935,177.255
2024-02-02,177.207,177.672,176.271,176.892
2024-02-05,176.822,177.034,174.875,175.592
2024-02-06,174.987,175.195,174.906,175.026
2024-02-07,175.116,176.559,174.882,175.936
