date,open,high,low,close
2023-09-14,1.08331,1.08499,1.07264,1.07398
2023-09-15,1.07333,1.07474,1.06,1.06465
2023-09-18,1.06645,1.06866,1.06493,1.06593
2023-09-19,1.06576,1.06934,1.05403,1.05928
2023-09-20,1.05841,1.06005,1.05384,1.05428
2023-09-21,1.05422,1.05577,1.0453,1.04773
2023-09-22,1.04721,1.04817,1.04196,1.04384
2023-09-25,1.04331,1.04678,1.03741,1.03978
2023-09-26,1.03927,1.05431,1.03717,1.04947
2023-09-27,1.05192,1.05623,1.04986,1.05243
2023-09-28,1.05199,1.05485,1.04565,1.04697
2023-09-29,1.0493,1.05038,1.04108,1.04179
2023-10-02,1.04064,1.05141,1.03914,1.0497
2023-10-03,1.04947,1.05717,1.04716,1.05249
2023-10-04,1.05375,1.05882,1.05094,1.05673
2023-10-05,1.05534,1.05905,1.05309,1.05361
2023-10-06,1.05579,1.0568,1.05352,1.05578
2023-10-09,1.05516,1.05569,1.04834,1.05272
2023-10-10,1.05214,1.05738,1.05088,1.05428
2023-10-11,1.05462,1.05674,1.04473,1.04523
2023-10-12,1.04634,1.05069,1.04029,1.04269
2023-10-13,1.04341,1.04544,1.03769,1.04168
2023-10-16,1.04089,1.04342,1.03606,1.03702
2023-10-17,1.03901,1.04189,1.03147,1.03418
2023-10-18,1.03434,1.03732,1.02834,1.0315
2023-10-19,1.03136,1.03285,1.02917,1.03041
2023-10-20,1.03087,1.03609,1.02813,1.03101
2023-10-23,1.03203,1.03663,1.03076,1.03489
2023-10-24,1.03632,1.03961,1.03489,1.03769
2023-10-25,1.03793,1.0436,1.03681,1.04224
2023-10-26,1.04299,1.0443,1.04136,1.0438
2023-10-27,1.04071,1.04157,1.03887,1.03997
2023-10-30,1.04092,1.04655,1.03685,1.0423
2023-10-31,1.04298,1.0547,1.03949,1.05261
2023-11-01,1.05169,1.05369,1.04927,1.05273
2023-11-02,1.05322,1.06253,1.04794,1.05896
2023-11-03,1.06025,1.06222,1.05271,1.05503
2023-11-06,1.05508,1.05717,1.05276,1.05635
2023-11-07,1.05556,1.06045,1.04949,1.05212
2023-11-08,1.05183,1.05425,1.04158,1.0436
2023-11-09,1.04385,1.04664,1.03864,1.04104
2023-11-10,1.04135,1.0433,1.03537,1.03799
2023-11-13,1.03799,1.04129,1.03648,1.03892
2023-11-14,1.03733,1.0407,1.03083,1.0372
2023-11-15,1.03925,1.04104,1.03224,1.03604
2023-11-16,1.03478,1.03613,1.03332,1.0349
2023-11-17,1.03634,1.03768,1.02873,1.0299
2023-11-20,1.0286,1.03585,1.02537,1.03287
2023-11-21,1.03099,1.03847,1.02956,1.03619
2023-11-22,1.03816,1.03985,1.03232,1.03481
2023-11-23,1.03459,1.04177,1.03249,1.03876
2023-11-24,1.03943,1.04441,1.03696,1.04224
2023-11-27,1.04398,1.05049,1.04102,1.0475
2023-11-28,1.04749,1.05203,1.04231,1.04931
2023-11-29,1.04921,1.05231,1.04734,1.05108
2023-11-30,1.05185,1.06276,1.04692,1.05936
2023-12-01,1.06036,1.06849,1.05901,1.066
2023-12-04,1.06578,1.06825,1.05379,1.05906
2023-12-05,1.05843,1.0608,1.05746,1.05854
2023-12-06,1.05817,1.06,1.05322,1.05705
2023-12-07,1.05655,1.06331,1.05539,1.05726
2023-12-08,1.05841,1.06006,1.0558,1.05647
2023-12-11,1.05636,1.05888,1.05258,1.05702
2023-12-12,1.05664,1.0629,1.05234,1.06143
2023-12-13,1.06192,1.06646,1.05442,1.05742
2023-12-14,1.05792,1.0617,1.05604,1.05766
2023-12-15,1.05972,1.06123,1.05529,1.05867
2023-12-18,1.05943,1.06113,1.0555,1.05641
2023-12-19,1.05706,1.06027,1.05278,1.05338
2023-12-20,1.05491,1.05651,1.05257,1.05545
2023-12-21,1.05439,1.05879,1.05071,1.05408
2023-12-22,1.05575,1.0619,1.04722,1.04954
2023-12-25,1.04932,1.05745,1.0475,1.05335
2023-12-26,1.05407,1.05565,1.05189,1.0536
2023-12-27,1.05445,1.05702,1.05271,1.05475
2023-12-28,1.0553,1.05811,1.04766,1.05011
2023-12-29,1.05173,1.05386,1.04654,1.05079
2024-01-01,1.04971,1.05356,1.04799,1.05159
2024-01-02,1.051,1.05237,1.04722,1.05156
2024-01-03,1.05146,1.05447,1.04907,1.0529
2024-01-04,1.05304,1.05881,1.05152,1.05791
2024-01-05,1.05734,1.0602,1.05193,1.05414
2024-01-08,1.05459,1.05893,1.05327,1.05664
2024-01-09,1.05634,1.06441,1.05521,1.05798
2024-01-10,1.05845,1.05911,1.0528,1.05811
2024-01-11,1.05797,1.06655,1.05466,1.06435
2024-01-12,1.06389,1.06548,1.05637,1.06095
2024-01-15,1.0606,1.06109,1.05693,1.05837
2024-01-16,1.05911,1.06083,1.04942,1.05562
2024-01-17,1.05327,1.05771,1.04584,1.05137
2024-01-18,1.05112,1.05408,1.04982,1.05269
2024-01-19,1.0531,1.05514,1.0444,1.04547
2024-01-22,1.04475,1.05277,1.04059,1.04333
2024-01-23,1.04238,1.04987,1.03871,1.04682
2024-01-24,1.04557,1.05061,1.04078,1.04181
2024-01-25,1.04112,1.04342,1.0335,1.03608
2024-01-26,1.03502,1.03948,1.0301,1.03441
2024-01-29,1.03451,1.03737,1.02881,1.03025
2024-01-30,1.0296,1.03288,1.02791,1.03111
2024-01-31,1.03036,1.03702,1.02486,1.03487
2024-02-01,1.03398,1.03771,1.03063,1.03641
2024-02-02,1.03599,1.03928,1.02584,1.02751
2024-02-05,1.02883,1.03478,1.02616,1.03033
2024-02-06,1.03197,1.03663,1.02871,1.0345
2024-02-07,1.03653,1.03733,1.02611,1.02949
2024-02-08,1.03022,1.03607,1.02865,1.03176
2024-02-09,1.02801,1.03435,1.02455,1.03196
2024-02-12,1.03061,1.04267,1.02773,1.03836
2024-02-13,1.03737,1.042,1.0299,1.0395
2024-02-14,1.03836,1.03951,1.02984,1.03494
2024-02-15,1.03401,1.03735,1.03069,1.03218
2024-02-16,1.03308,1.03541,1.02933,1.03212
2024-02-19,1.03269,1.03509,1.01991,1.02297
2024-02-20,1.02536,1.02727,1.01621,1.01691
2024-02-21,1.01727,1.02234,1.01474,1.01908
2024-02-22,1.01988,1.02287,1.01087,1.01388
2024-02-23,1.01478,1.0171,1.00782,1.01202
2024-02-26,1.01104,1.01216,1.0034,1.00677
2024-02-27,1.00433,1.00584,0.99903,1.0032
2024-02-28,1.00452,1.00724,1.00182,1.00592
2024-02-29,1.0057,1.00667,1.00431,1.00607
2024-03-01,1.00522,1.00707,1.00002,1.00088
2024-03-04,0.99998,1.00471,0.99897,1.00212
2024-03-05,1.00336,1.00676,1.00114,1.00463
2024-03-06,1.00586,1.00732,1.00221,1.00581
2024-03-07,1.0061,1.01628,1.00331,1.01264
2024-03-08,1.0134,1.01531,1.00534,1.00804
2024-03-11,1.00689,1.01168,1.00025,1.00441
2024-03-12,1.0054,1.01386,1.00315,1.01115
2024-03-13,1.0096,1.01409,1.00297,1.00547
2024-03-14,1.00519,1.00784,1.00303,1.00446
2024-03-15,1.00665,1.0095,1.00359,1.00903
2024-03-18,1.00883,1.02183,1.00509,1.02035
2024-03-19,1.02132,1.02793,1.01889,1.02522
2024-03-20,1.02603,1.02899,1.01504,1.01938
2024-03-21,1.02151,1.02203,1.01662,1.01981
2024-03-22,1.0186,1.02217,1.01228,1.01555
2024-03-25,1.01491,1.01714,1.01148,1.01252
2024-03-26,1.01344,1.01607,1.00462,1.00557
2024-03-27,1.00536,1.00868,1.00474,1.00686
2024-03-28,1.00551,1.01639,1.00211,1.01284
2024-03-29,1.01285,1.02416,1.01201,1.01853
2024-04-01,1.01778,1.0278,1.01333,1.02521
2024-04-02,1.02443,1.0273,1.0131,1.01711
2024-04-03,1.01691,1.01929,1.01395,1.01571
2024-04-04,1.01556,1.01731,1.01243,1.01433
2024-04-05,1.01519,1.02417,1.01229,1.01923
2024-04-08,1.01814,1.01977,1.00878,1.01177
2024-04-09,1.01185,1.01328,1.00831,1.00903
2024-04-10,1.00857,1.01309,1.00776,1.01107
2024-04-11,1.01226,1.01387,1.00438,1.00785
2024-04-12,1.0077,1.0088,1.00354,1.00615
2024-04-15,1.0054,1.00744,1.00207,1.00571
2024-04-16,1.00517,1.00645,0.99856,1.00045
2024-04-17,1.00105,1.01335,0.99957,1.00962
2024-04-18,1.00837,1.00991,1.00558,1.00861
2024-04-19,1.0072,1.01369,1.00219,1.01055
2024-04-22,1.01066,1.01856,1.00971,1.01712
2024-04-23,1.01868,1.0221,1.01745,1.01818
2024-04-24,1.01765,1.02042,1.01152,1.01436
2024-04-25,1.01322,1.01415,1.01006,1.0119
2024-04-26,1.01094,1.02035,1.00808,1.0167
2024-04-29,1.01657,1.01882,1.01105,1.01513
2024-04-30,1.01462,1.01885,1.01183,1.016
2024-05-01,1.01576,1.02314,1.01438,1.02011
2024-05-02,1.02096,1.03377,1.01906,1.03226
2024-05-03,1.03099,1.03238,1.02672,1.02842
2024-05-06,1.02756,1.03072,1.02054,1.02221
2024-05-07,1.02298,1.02545,1.02127,1.02406
2024-05-08,1.02659,1.03187,1.02609,1.02947
2024-05-09,1.02836,1.0375,1.02525,1.03461
2024-05-10,1.03402,1.03659,1.0295,1.0342
2024-05-13,1.03152,1.03369,1.01978,1.02144
2024-05-14,1.02157,1.02372,1.01632,1.01852
2024-05-15,1.01758,1.02135,1.00981,1.01323
2024-05-16,1.01404,1.0159,1.0101,1.01367
2024-05-17,1.01387,1.01512,1.01161,1.01249
2024-05-20,1.01349,1.01599,1.00749,1.01467
2024-05-21,1.01308,1.01606,1.00941,1.01174
2024-05-22,1.01116,1.01307,1.00541,1.0076
2024-05-23,1.00894,1.02293,1.00725,1.0168
2024-05-24,1.0178,1.02224,1.01481,1.01744
2024-05-27,1.01848,1.02265,1.01616,1.02115
2024-05-28,1.02018,1.02948,1.01932,1.02701
2024-05-29,1.02731,1.03062,1.02449,1.02877
2024-05-30,1.0279,1.03004,1.02286,1.02685
2024-05-31,1.02596,1.02952,1.02508,1.02811
2024-06-03,1.02837,1.03633,1.02649,1.034
2024-06-04,1.03431,1.03472,1.02846,1.03139
2024-06-05,1.03144,1.03292,1.0254,1.02653
2024-06-06,1.02697,1.02941,1.01356,1.01475
2024-06-07,1.01304,1.01587,1.01167,1.01401
2024-06-10,1.01514,1.02695,1.01215,1.02551
2024-06-11,1.0265,1.03158,1.02517,1.02936
2024-06-12,1.02988,1.035,1.02572,1.03318
2024-06-13,1.03478,1.04225,1.03266,1.03997
2024-06-14,1.03868,1.04834,1.03741,1.04715
2024-06-17,1.04717,1.05075,1.03591,1.03927
2024-06-18,1.03941,1.04198,1.0317,1.03382
2024-06-19,1.03218,1.03503,1.02719,1.02925
2024-06-20,1.03044,1.03473,1.02799,1.03249
2024-06-21,1.03205,1.04132,1.03094,1.03914
2024-06-24,1.04034,1.04526,1.03693,1.04248
2024-06-25,1.0418,1.04368,1.03395,1.03607
2024-06-26,1.03664,1.04078,1.03384,1.03801
2024-06-27,1.03752,1.0388,1.0359,1.03758
2024-06-28,1.03669,1.0372,1.02765,1.03279
2024-07-01,1.03374,1.04103,1.03261,1.0371
2024-07-02,1.03842,1.04267,1.03516,1.03907
2024-07-03,1.04087,1.04421,1.03206,1.03294
2024-07-04,1.03302,1.03976,1.0299,1.03831
2024-07-05,1.03965,1.04258,1.03515,1.03622
2024-07-08,1.03541,1.03705,1.02437,1.02732
2024-07-09,1.02757,1.02991,1.0191,1.0223
2024-07-10,1.02317,1.03477,1.01754,1.03234
2024-07-11,1.03397,1.03773,1.03122,1.03448
2024-07-12,1.0356,1.04001,1.02544,1.02806
2024-07-15,1.02792,1.03905,1.02441,1.03597
2024-07-16,1.03789,1.04401,1.03634,1.03999
2024-07-17,1.04044,1.04336,1.0371,1.03902
2024-07-18,1.03729,1.03861,1.03584,1.03649
2024-07-19,1.03639,1.04162,1.03468,1.03946
2024-07-22,1.03915,1.04106,1.03761,1.04033
2024-07-23,1.04009,1.04144,1.02753,1.03288
2024-07-24,1.03369,1.03827,1.02821,1.02967
2024-07-25,1.02973,1.03257,1.02687,1.02881
2024-07-26,1.0287,1.03199,1.02629,1.02897
2024-07-29,1.02975,1.03389,1.02352,1.02409
2024-07-30,1.02332,1.02457,1.01622,1.01722
2024-07-31,1.01559,1.01672,1.01192,1.01416
2024-08-01,1.01331,1.01474,1.00928,1.01072
2024-08-02,1.01025,1.01265,1.00795,1.01132
2024-08-05,1.0108,1.02123,1.00865,1.01925
2024-08-06,1.02,1.03148,1.01922,1.0282
2024-08-07,1.02881,1.03528,1.0251,1.03361
2024-08-08,1.03317,1.03857,1.03016,1.0375
2024-08-09,1.03946,1.0424,1.03596,1.03865
2024-08-12,1.0369,1.0427,1.03505,1.03743
2024-08-13,1.03811,1.04111,1.03457,1.03701
2024-08-14,1.036,1.04403,1.03501,1.04136
2024-08-15,1.0405,1.04486,1.03789,1.03968
2024-08-16,1.04139,1.04941,1.03714,1.04588
2024-08-19,1.04797,1.04983,1.04635,1.04791
2024-08-20,1.04874,1.05026,1.04712,1.04975
2024-08-21,1.04953,1.06066,1.04694,1.05636
2024-08-22,1.05505,1.06051,1.05239,1.05866
2024-08-23,1.05742,1.06209,1.055,1.05962
2024-08-26,1.05861,1.06113,1.05588,1.05975
2024-08-27,1.06029,1.06503,1.05405,1.05602
2024-08-28,1.05507,1.06459,1.04906,1.06126
2024-08-29,1.06113,1.06448,1.05833,1.06291
2024-08-30,1.06327,1.06915,1.06055,1.06661
2024-09-02,1.07037,1.07646,1.06884,1.07263
2024-09-03,1.0728,1.07752,1.07026,1.07583
2024-09-04,1.07649,1.08133,1.07253,1.07511
2024-09-05,1.07472,1.07786,1.07098,1.07259
2024-09-06,1.0729,1.07443,1.07022,1.07211
2024-09-09,1.07143,1.07975,1.0687,1.07828
2024-09-10,1.07807,1.08011,1.07646,1.07868
2024-09-11,1.07823,1.08251,1.07375,1.07574
2024-09-12,1.07426,1.075,1.07166,1.07372
2024-09-13,1.07329,1.09107,1.07222,1.08928
2024-09-16,1.08878,1.09139,1.08187,1.0848
2024-09-17,1.08318,1.08375,1.07819,1.08026
2024-09-18,1.07906,1.08145,1.0687,1.07324
2024-09-19,1.07308,1.07892,1.06761,1.07082
2024-09-20,1.06959,1.07138,1.06689,1.07026
2024-09-23,1.0707,1.08142,1.0664,1.07942
2024-09-24,1.08063,1.08468,1.07516,1.07703
2024-09-25,1.07822,1.08105,1.07112,1.0762
2024-09-26,1.07564,1.07818,1.07252,1.07467
2024-09-27,1.07468,1.07644,1.06502,1.0699
2024-09-30,1.06972,1.07172,1.06401,1.06906
2024-10-01,1.06961,1.0713,1.06457,1.06633
2024-10-02,1.06571,1.07392,1.06317,1.06998
