date,open,high,low,close
2016-08-08,133.28,133.379,132.112,133.285
2016-08-09,132.605,132.804,131.581,132.541
2016-08-10,131.68,132.019,131.017,131.657
2016-08-11,131.883,132.52,130.362,131.853
2016-08-14,130.724,131.179,129.981,130.737
2016-08-15,130.41,130.689,129.282,130.41
2016-08-16,130.552,131.779,130.288,130.557
2016-08-17,130.281,132.139,130.13,130.27
2016-08-18,131.789,132.003,130.353,131.75
2016-08-21,131.334,132.136,131.183,131.266
2016-08-22,131.709,132.297,131.45,131.655
2016-08-23,132.423,133.25,131.979,132.349
2016-08-24,133.077,133.229,132.391,133.074
2016-08-25,132.655,133.419,132.38,132.64
2016-08-28,133.77,134.382,133.429,133.8
2016-08-29,133.423,134.769,133.34,133.428
2016-08-30,134.666,135.785,134.61,134.674
2016-08-31,135.673,137.961,135.397,135.652
2016-09-01,137.057,138.795,136.916,137.03
2016-09-04,138.197,138.341,137.347,138.17
2016-09-05,137.79,138.291,137.004,137.779
2016-09-06,136.216,136.362,135.47,136.236
2016-09-07,135.805,136.022,135.062,135.827
2016-09-08,136.128,137.106,135.752,136.125
2016-09-11,136.045,136.224,135.098,135.961
2016-09-12,135.706,136.061,134.502,135.709
2016-09-13,135.252,136.601,134.96,135.23
2016-09-14,135.94,136.099,134.753,135.98
2016-09-15,135.088,135.159,133.669,135.102
2016-09-18,133.152,133.45,132.796,133.121
2016-09-19,132.858,133.086,131.636,132.82
2016-09-20,131.906,133.226,130.425,131.832
2016-09-21,130.876,132.243,130.546,130.846
2016-09-22,131.841,132.193,130.47,131.927
2016-09-25,130.956,131.223,129.714,130.93
2016-09-26,130.149,131.181,129.68,130.12
2016-09-27,130.682,131.159,130.576,130.67
2016-09-28,131.601,132.411,131.577,131.605
2016-09-29,131.167,131.883,130.45,131.17
2016-10-02,131.276,131.388,130.118,131.312
2016-10-03,130.94,131.337,130.344,130.867
2016-10-04,130.885,132.098,130.521,130.95
2016-10-05,131.924,132.059,131.147,131.947
2016-10-06,128.605,129.58,126.83,128.579
2016-10-09,128.12,128.594,127.5,128.089
2016-10-10,128.072,128.357,126.092,127.94
2016-10-11,126.77,127.558,126.507,126.808
2016-10-12,127.14,127.422,125.957,127.107
2016-10-13,126.844,127.901,126.696,126.76
2016-10-16,126.727,126.966,126.317,126.702
2016-10-17,126.92,128.144,126.771,126.875
2016-10-18,127.771,127.88,126.779,127.785
2016-10-19,127.137,127.458,126.642,127.067
2016-10-20,127.626,127.626,126.135,127.595
2016-10-23,126.958,127.408,126.636,126.95
2016-10-24,127.513,127.928,126.628,127.439
2016-10-25,126.795,127.827,126.64,126.799
2016-10-26,127.943,128.41,127.448,127.925
2016-10-27,128.04,128.27,127.62,128.027
2016-10-31,127.609,128.243,127.51,127.696
2016-11-01,128.259,128.997,127.692,128.251
2016-11-02,127.359,127.485,126.806,127.37
2016-11-03,127.195,128.851,126.49,127.187
2016-11-04,128.442,129.423,128.316,128.464
2016-11-07,130.094,130.136,129.351,130.1
2016-11-08,129.492,130.007,129.281,129.481
2016-11-09,130.02,130.35,126.78,130.078
2016-11-10,131.435,133.42,130.309,131.44
2016-11-11,134.039,134.86,133.486,134.11
2016-11-14,134.39,135.399,134.214,134.353
2016-11-15,135.42,135.434,134.222,135.436
2016-11-16,135.72,136.731,135.654,135.777
2016-11-17,135.298,136.418,135,135.33
2016-11-18,136.785,137.561,135.453,136.8
2016-11-21,136.67,138.647,136.306,136.731
2016-11-22,138.241,138.802,137.659,138.221
2016-11-23,137.877,140.07,137.284,137.892
2016-11-24,139.82,141.279,139.779,139.933
2016-11-25,141.03,141.697,140.039,141.05
2016-11-28,140.582,140.67,139.104,140.577
2016-11-29,138.58,141.308,138.58,138.576
2016-11-30,140.507,142.325,139.988,140.461
2016-12-01,143.495,145.161,142.651,143.545
2016-12-02,143.402,144.188,142.938,143.384
2016-12-05,143.809,145.991,143.64,143.79
2016-12-06,144.914,145.599,144.486,144.884
2016-12-07,144.544,144.771,143.022,144.49
2016-12-08,143.66,144.424,143.133,143.586
2016-12-09,143.509,145.086,143.474,143.505
2016-12-12,145.36,146.322,144.926,145.373
2016-12-13,145.741,146.6766,145.552,145.758
2016-12-14,145.841,146.184,145.22,145.873
2016-12-15,146.937,148.437,146.827,146.928
2016-12-16,146.917,147.275,146.277,146.889
2016-12-19,147.134,147.166,144.52,147.11
2016-12-20,144.977,146.336,144.924,144.979
2016-12-21,145.666,145.82,144.899,145.745
2016-12-22,145.266,145.575,144.501,145.263
2016-12-23,144.365,144.389,143.533,144.357
2016-12-26,144.125,144.159,143.404,144.19
2016-12-27,143.844,144.182,143.608,143.84
2016-12-28,144.198,144.674,143.521,144.193
2016-12-29,143.044,143.1,142.303,143.118
2016-12-30,142.895,144.568,142.785,142.83
2017-01-02,144.065,144.932,144.06,144.063
2017-01-03,144.275,145.364,144.113,144.26
2017-01-04,144.072,144.891,143.707,144.028
2017-01-05,144.277,144.282,142.54,144.323
2017-01-06,143.229,144.015,143.198,143.173
2017-01-09,143.6,143.83,141.109,143.587
2017-01-10,141.154,141.423,140.185,141.166
2017-01-11,141.064,141.462,140.622,141.033
2017-01-12,140.476,140.627,139.22,140.557
2017-01-13,139.5,140.203,139.189,139.468
2017-01-16,137.519,138.064,136.503,137.498
2017-01-17,137.394,140.087,137.105,137.428
2017-01-18,139.877,139.966,139.148,139.825
2017-01-19,140.669,142.067,140.5,140.675
2017-01-20,141.762,142.038,141.206,141.844
2017-01-23,140.992,142.026,140.766,140.959
2017-01-24,141.203,141.9264,140.827,141.152
2017-01-25,142.72,143.296,141.837,142.663
2017-01-26,143.026,144.412,142.907,143.124
2017-01-27,144.118,144.774,144.022,144.146
2017-01-30,144.416,144.508,142.411,144.369
