date,open,high,low,close
2023-09-14,1.27234,1.27805,1.26786,1.27231
2023-09-15,1.27697,1.2796,1.27079,1.27247
2023-09-18,1.27108,1.27308,1.25731,1.26045
2023-09-19,1.25904,1.26385,1.25618,1.25998
2023-09-20,1.26045,1.27314,1.2572,1.26627
2023-09-21,1.26508,1.26847,1.26305,1.26624
2023-09-22,1.26554,1.2682,1.24678,1.25066
2023-09-25,1.25007,1.25551,1.24951,1.2515
2023-09-26,1.25176,1.25658,1.24852,1.253
2023-09-27,1.25649,1.25917,1.2471,1.24982
2023-09-28,1.24924,1.25377,1.24365,1.24709
2023-09-29,1.24654,1.24841,1.23006,1.23759
2023-10-02,1.23962,1.25077,1.23761,1.24523
2023-10-03,1.24788,1.24938,1.23817,1.24414
2023-10-04,1.24491,1.24728,1.23548,1.23727
2023-10-05,1.24138,1.24696,1.23557,1.2437
2023-10-06,1.24295,1.24678,1.23982,1.24527
2023-10-09,1.24569,1.24803,1.24218,1.24395
2023-10-10,1.24749,1.25994,1.24547,1.25694
2023-10-11,1.2571,1.26448,1.25523,1.26289
2023-10-12,1.26218,1.26478,1.25632,1.25709
2023-10-13,1.25917,1.26327,1.25464,1.26145
2023-10-16,1.26321,1.27059,1.25677,1.2683
2023-10-17,1.26881,1.28277,1.26237,1.27611
2023-10-18,1.27456,1.27688,1.27074,1.27527
2023-10-19,1.27419,1.27758,1.26458,1.26783
2023-10-20,1.26627,1.26937,1.25691,1.26276
2023-10-23,1.26193,1.26512,1.26065,1.26226
2023-10-24,1.26061,1.26226,1.25015,1.25257
2023-10-25,1.25207,1.25646,1.24841,1.25337
2023-10-26,1.25261,1.27046,1.24916,1.26415
2023-10-27,1.26343,1.26505,1.26104,1.26429
2023-10-30,1.26402,1.27358,1.26079,1.27087
2023-10-31,1.27098,1.27344,1.26648,1.26804
2023-11-01,1.26723,1.26914,1.26482,1.26689
2023-11-02,1.26739,1.2738,1.26177,1.2647
2023-11-03,1.26431,1.27532,1.26269,1.2743
2023-11-06,1.27442,1.28265,1.2696,1.27824
2023-11-07,1.27748,1.28296,1.27348,1.27399
2023-11-08,1.27479,1.27647,1.27073,1.27172
2023-11-09,1.27153,1.27237,1.25484,1.2595
2023-11-10,1.2591,1.26197,1.25774,1.2601
2023-11-13,1.26174,1.26428,1.25635,1.25848
2023-11-14,1.25769,1.26142,1.25394,1.25615
2023-11-15,1.2584,1.25994,1.25348,1.258
2023-11-16,1.25967,1.26244,1.24942,1.25295
2023-11-17,1.25159,1.2527,1.247,1.25016
2023-11-20,1.25281,1.26227,1.24634,1.25853
2023-11-21,1.26006,1.27134,1.25673,1.26902
2023-11-22,1.26633,1.27324,1.26389,1.26908
2023-11-23,1.26955,1.27554,1.26682,1.27433
2023-11-24,1.27651,1.28144,1.27203,1.27834
2023-11-27,1.27858,1.28162,1.26884,1.27087
2023-11-28,1.26874,1.27422,1.26555,1.27151
2023-11-29,1.2713,1.27751,1.26726,1.27484
2023-11-30,1.27622,1.28725,1.27284,1.28312
2023-12-01,1.2836,1.29149,1.28171,1.28945
2023-12-04,1.29227,1.29494,1.28921,1.2922
2023-12-05,1.29176,1.29354,1.28493,1.28905
2023-12-06,1.29025,1.29528,1.28764,1.2925
2023-12-07,1.29335,1.29663,1.2929,1.29514
2023-12-08,1.29372,1.29527,1.27696,1.27817
2023-12-11,1.27474,1.28141,1.27228,1.2798
2023-12-12,1.27908,1.28063,1.27613,1.2782
2023-12-13,1.27765,1.28013,1.27453,1.27783
2023-12-14,1.27753,1.28287,1.27589,1.27862
2023-12-15,1.2787,1.28151,1.27258,1.27475
2023-12-18,1.27397,1.27604,1.26552,1.2661
2023-12-19,1.26455,1.27069,1.25988,1.26707
2023-12-20,1.26931,1.27235,1.25622,1.26036
2023-12-21,1.26171,1.26922,1.2593,1.26721
2023-12-22,1.26573,1.27831,1.26321,1.27663
2023-12-25,1.27535,1.28637,1.2731,1.28497
2023-12-26,1.28351,1.29039,1.28141,1.28882
2023-12-27,1.28942,1.30821,1.28564,1.30345
2023-12-28,1.30434,1.30687,1.29642,1.30016
2023-12-29,1.29938,1.30272,1.29068,1.29469
2024-01-01,1.29381,1.2979,1.28105,1.28567
2024-01-02,1.28534,1.28976,1.27427,1.27787
2024-01-03,1.27556,1.27762,1.27139,1.27378
2024-01-04,1.27326,1.27949,1.26805,1.27119
2024-01-05,1.27076,1.27516,1.25885,1.26023
2024-01-08,1.25792,1.25921,1.24555,1.24796
2024-01-09,1.24711,1.25478,1.24396,1.25244
2024-01-10,1.25311,1.25469,1.24879,1.25012
2024-01-11,1.25008,1.25205,1.24199,1.24339
2024-01-12,1.24293,1.25451,1.24208,1.25261
2024-01-15,1.25154,1.26056,1.24864,1.25699
2024-01-16,1.25597,1.26513,1.25416,1.25765
2024-01-17,1.25838,1.26239,1.24675,1.24864
2024-01-18,1.2481,1.25056,1.23966,1.24081
2024-01-19,1.24057,1.25241,1.23731,1.24995
2024-01-22,1.252,1.25881,1.25001,1.25496
2024-01-23,1.25809,1.26219,1.25487,1.25729
2024-01-24,1.25703,1.26885,1.25547,1.26763
2024-01-25,1.26987,1.27259,1.26283,1.2682
2024-01-26,1.27066,1.28076,1.26886,1.27633
2024-01-29,1.27468,1.28491,1.26826,1.27575
2024-01-30,1.27534,1.27894,1.27168,1.27309
2024-01-31,1.27283,1.27633,1.25758,1.25971
2024-02-01,1.25768,1.26599,1.25513,1.26257
2024-02-02,1.26439,1.26631,1.25921,1.26289
2024-02-05,1.26401,1.26685,1.26234,1.2652
2024-02-06,1.2648,1.26856,1.26099,1.26328
2024-02-07,1.26263,1.26626,1.26104,1.26367
2024-02-08,1.26638,1.27392,1.26392,1.26881
2024-02-09,1.26788,1.27473,1.26413,1.27186
2024-02-12,1.27152,1.2761,1.26837,1.27482
2024-02-13,1.27269,1.28221,1.25932,1.26774
2024-02-14,1.26909,1.27972,1.26483,1.27412
2024-02-15,1.27371,1.27819,1.26006,1.26593
2024-02-16,1.26781,1.27104,1.26624,1.26778
2024-02-19,1.26446,1.275,1.26329,1.27085
2024-02-20,1.27127,1.27539,1.26271,1.26623
2024-02-21,1.26914,1.27303,1.26359,1.26622
2024-02-22,1.26609,1.26897,1.26304,1.26791
2024-02-23,1.26856,1.26918,1.25887,1.26121
2024-02-26,1.26023,1.26478,1.25571,1.26112
2024-02-27,1.26213,1.27033,1.25346,1.25806
2024-02-28,1.25978,1.26691,1.25708,1.26461
2024-02-29,1.26665,1.27344,1.26221,1.26922
2024-03-01,1.26894,1.27598,1.26719,1.27412
2024-03-04,1.27412,1.27829,1.26067,1.26299
2024-03-05,1.2603,1.26748,1.25827,1.26419
2024-03-06,1.26395,1.26756,1.25915,1.26187
2024-03-07,1.26198,1.26438,1.25363,1.25593
2024-03-08,1.25656,1.26117,1.25331,1.25461
2024-03-11,1.25177,1.25684,1.25004,1.25588
2024-03-12,1.2569,1.25833,1.24098,1.24339
2024-03-13,1.24368,1.24929,1.24059,1.24589
2024-03-14,1.2443,1.25767,1.23981,1.25476
2024-03-15,1.25398,1.26417,1.24855,1.25945
2024-03-18,1.25989,1.26733,1.25599,1.26575
2024-03-19,1.26316,1.26475,1.25418,1.25576
2024-03-20,1.25688,1.26216,1.24332,1.24755
2024-03-21,1.24898,1.25228,1.24464,1.24823
2024-03-22,1.24917,1.25071,1.23562,1.23944
2024-03-25,1.23963,1.24168,1.23755,1.23888
2024-03-26,1.23867,1.24197,1.22468,1.22816
2024-03-27,1.22819,1.2334,1.2218,1.22612
2024-03-28,1.22675,1.22958,1.21972,1.22172
2024-03-29,1.22119,1.22801,1.21081,1.21265
2024-04-01,1.21243,1.21446,1.20238,1.2047
2024-04-02,1.20284,1.20757,1.19928,1.20233
2024-04-03,1.20294,1.21312,1.20154,1.20577
2024-04-04,1.20801,1.21189,1.19582,1.20019
2024-04-05,1.19928,1.20393,1.19501,1.20275
2024-04-08,1.20316,1.20467,1.20185,1.20353
2024-04-09,1.20644,1.20873,1.20266,1.2037
2024-04-10,1.202,1.2133,1.196,1.20683
2024-04-11,1.20275,1.21741,1.20069,1.21287
2024-04-12,1.21273,1.22399,1.20847,1.22046
2024-04-15,1.2173,1.21882,1.20968,1.21206
2024-04-16,1.21169,1.2218,1.20868,1.22133
2024-04-17,1.22126,1.22965,1.21639,1.2272
2024-04-18,1.23033,1.23262,1.22192,1.22575
2024-04-19,1.22615,1.23309,1.22494,1.23097
2024-04-22,1.23369,1.24298,1.22982,1.2383
2024-04-23,1.24202,1.25533,1.23935,1.25057
2024-04-24,1.25066,1.25503,1.24744,1.25002
2024-04-25,1.25298,1.25722,1.25081,1.25566
2024-04-26,1.25479,1.2578,1.24885,1.25114
2024-04-29,1.251,1.2573,1.24851,1.25339
2024-04-30,1.25361,1.25705,1.2472,1.25168
2024-05-01,1.2507,1.25176,1.24642,1.24958
2024-05-02,1.24654,1.24943,1.2354,1.23606
2024-05-03,1.23757,1.23955,1.2371,1.23796
2024-05-06,1.23789,1.24328,1.23716,1.2414
2024-05-07,1.24282,1.24596,1.23202,1.23388
2024-05-08,1.23415,1.2367,1.23162,1.23441
2024-05-09,1.23144,1.23527,1.21587,1.21779
2024-05-10,1.21786,1.21917,1.21539,1.21631
2024-05-13,1.21458,1.21957,1.20188,1.2055
2024-05-14,1.20595,1.20965,1.2005,1.20169
2024-05-15,1.19954,1.20256,1.19806,1.20102
2024-05-16,1.20157,1.20355,1.19856,1.20003
2024-05-17,1.20156,1.20479,1.2,1.20373
2024-05-20,1.20532,1.21103,1.20193,1.2067
2024-05-21,1.20721,1.21105,1.20355,1.2062
2024-05-22,1.2091,1.21376,1.20749,1.20955
2024-05-23,1.2098,1.21856,1.20646,1.21753
2024-05-24,1.21732,1.22,1.20628,1.20909
2024-05-27,1.20716,1.21313,1.20226,1.2104
2024-05-28,1.20912,1.21189,1.20684,1.21024
2024-05-29,1.20906,1.21249,1.20451,1.2064
2024-05-30,1.20573,1.21589,1.20109,1.21295
2024-05-31,1.21277,1.22972,1.20995,1.22469
2024-06-03,1.22532,1.22945,1.21941,1.22725
2024-06-04,1.22689,1.23057,1.21403,1.21784
2024-06-05,1.21891,1.22238,1.21112,1.21448
2024-06-06,1.2127,1.21827,1.21201,1.21567
2024-06-07,1.21477,1.21842,1.20916,1.21077
2024-06-10,1.21141,1.22087,1.20458,1.21525
2024-06-11,1.21447,1.2194,1.21201,1.21487
2024-06-12,1.2152,1.23198,1.21291,1.22534
2024-06-13,1.22688,1.23068,1.2236,1.22613
2024-06-14,1.22415,1.23372,1.22214,1.23233
2024-06-17,1.23217,1.23267,1.21974,1.22114
2024-06-18,1.22099,1.22527,1.21012,1.21355
2024-06-19,1.21156,1.2161,1.20318,1.20774
2024-06-20,1.20677,1.21329,1.20322,1.21111
2024-06-21,1.20899,1.21288,1.20546,1.2105
2024-06-24,1.21107,1.22152,1.20557,1.21852
2024-06-25,1.21887,1.22729,1.20729,1.21496
2024-06-26,1.21615,1.21879,1.21147,1.2131
2024-06-27,1.21398,1.21719,1.20578,1.20732
2024-06-28,1.20556,1.21653,1.20145,1.21471
2024-07-01,1.21616,1.2265,1.20757,1.20984
2024-07-02,1.20928,1.21222,1.19995,1.20235
2024-07-03,1.20259,1.20677,1.19984,1.20385
2024-07-04,1.20733,1.21457,1.19949,1.20657
2024-07-05,1.2062,1.21034,1.19761,1.20128
2024-07-08,1.20334,1.20936,1.19904,1.20855
2024-07-09,1.20709,1.21166,1.20342,1.20647
2024-07-10,1.20475,1.20572,1.20118,1.20231
2024-07-11,1.20306,1.20595,1.19642,1.19839
2024-07-12,1.19742,1.20158,1.19367,1.19623
2024-07-15,1.1969,1.20266,1.19535,1.20007
2024-07-16,1.20147,1.2026,1.20029,1.20114
2024-07-17,1.20129,1.20366,1.18936,1.19175
2024-07-18,1.18928,1.20159,1.18266,1.1991
2024-07-19,1.19706,1.19905,1.19419,1.19835
2024-07-22,1.19958,1.20201,1.19428,1.19738
2024-07-23,1.19635,1.19924,1.18743,1.19034
2024-07-24,1.19001,1.19146,1.18664,1.19016
2024-07-25,1.19012,1.19708,1.18793,1.19434
2024-07-26,1.19568,1.2127,1.19167,1.2076
2024-07-29,1.20869,1.21533,1.2049,1.21235
2024-07-30,1.21267,1.21776,1.20349,1.20681
2024-07-31,1.2065,1.20859,1.20174,1.2046
2024-08-01,1.20595,1.20768,1.19413,1.19776
2024-08-02,1.19851,1.20362,1.19708,1.20106
2024-08-05,1.20367,1.20739,1.19192,1.19577
2024-08-06,1.19652,1.20846,1.19368,1.20428
2024-08-07,1.20513,1.20792,1.20137,1.20412
2024-08-08,1.20534,1.21202,1.20387,1.20983
2024-08-09,1.21226,1.21473,1.20833,1.2132
2024-08-12,1.21005,1.21339,1.2057,1.20853
2024-08-13,1.20703,1.20915,1.19794,1.20368
2024-08-14,1.20752,1.21096,1.20045,1.20216
2024-08-15,1.20333,1.20778,1.19983,1.20453
2024-08-16,1.20497,1.20785,1.20188,1.20423
2024-08-19,1.20419,1.20709,1.19297,1.19656
2024-08-20,1.19607,1.19895,1.18661,1.18786
2024-08-21,1.18571,1.19202,1.18425,1.18833
2024-08-22,1.18737,1.18998,1.18302,1.18423
2024-08-23,1.18063,1.18486,1.16419,1.17028
2024-08-26,1.16945,1.17684,1.16706,1.17524
2024-08-27,1.17598,1.17905,1.17275,1.17736
2024-08-28,1.17584,1.18831,1.17253,1.18554
2024-08-29,1.18486,1.1974,1.18159,1.19275
2024-08-30,1.19132,1.19493,1.19011,1.19159
2024-09-02,1.19148,1.20042,1.18963,1.19555
2024-09-03,1.19573,1.20154,1.19489,1.19957
2024-09-04,1.20122,1.21274,1.19827,1.20807
2024-09-05,1.20971,1.21316,1.20602,1.21066
2024-09-06,1.21202,1.21909,1.21054,1.21414
2024-09-09,1.21661,1.2198,1.21132,1.2174
2024-09-10,1.217,1.21871,1.21147,1.21308
2024-09-11,1.213,1.21598,1.21164,1.21349
2024-09-12,1.21331,1.23008,1.21043,1.225
2024-09-13,1.22535,1.22967,1.22108,1.22863
2024-09-16,1.22978,1.23217,1.22578,1.22708
2024-09-17,1.22923,1.23277,1.22282,1.22687
2024-09-18,1.22962,1.2327,1.22554,1.23009
2024-09-19,1.23176,1.23498,1.22295,1.22826
2024-09-20,1.22908,1.23135,1.2252,1.22822
2024-09-23,1.22796,1.22992,1.22112,1.22305
2024-09-24,1.22206,1.23596,1.21671,1.23233
2024-09-25,1.23115,1.24525,1.22696,1.24302
2024-09-26,1.24401,1.24623,1.23919,1.24086
2024-09-27,1.2399,1.2497,1.23404,1.24524
2024-09-30,1.24544,1.24697,1.22953,1.23204
2024-10-01,1.23072,1.23516,1.22033,1.22609
2024-10-02,1.22671,1.24082,1.22409,1.23886
2024-10-03,1.23986,1.25064,1.23713,1.24859
2024-10-04,1.24706,1.2497,1.23677,1.23925
2024-10-07,1.23751,1.239,1.22777,1.23145
2024-10-08,1.23266,1.23608,1.22474,1.22687
2024-10-09,1.22563,1.22907,1.22255,1.22329
2024-10-10,1.22128,1.22505,1.2137,1.2173
2024-10-11,1.21794,1.22301,1.21349,1.21813
2024-10-14,1.21659,1.22025,1.2076,1.21106
2024-10-15,1.21243,1.2152,1.20907,1.2105
2024-10-16,1.21129,1.21745,1.20077,1.20304
2024-10-17,1.20289,1.20568,1.19701,1.19948
2024-10-18,1.19742,1.20266,1.18836,1.19206
2024-10-21,1.19144,1.19679,1.1852,1.18804
2024-10-22,1.18958,1.19234,1.18651,1.19007
2024-10-23,1.18939,1.19369,1.18416,1.18736
2024-10-24,1.18587,1.1952,1.18003,1.1929
2024-10-25,1.19204,1.19772,1.18783,1.19525
2024-10-28,1.19394,1.20042,1.18721,1.19696
2024-10-29,1.19878,1.20235,1.19283,1.19548
2024-10-30,1.19811,1.19956,1.19592,1.19774
2024-10-31,1.19764,1.20075,1.19179,1.19731
2024-11-01,1.1956,1.20119,1.18435,1.18673
2024-11-04,1.18402,1.18722,1.17396,1.17644
2024-11-05,1.17658,1.17973,1.17075,1.17367
2024-11-06,1.17518,1.17993,1.17019,1.17234
2024-11-07,1.17303,1.17698,1.1705,1.17228
2024-11-08,1.17493,1.18051,1.17378,1.17647
2024-11-11,1.17667,1.18551,1.1728,1.18154
2024-11-12,1.18033,1.18642,1.16385,1.16905
2024-11-13,1.17005,1.17286,1.14872,1.15326
2024-11-14,1.15152,1.15537,1.148,1.1502
2024-11-15,1.15044,1.15215,1.14177,1.14389
2024-11-18,1.1431,1.15534,1.14234,1.15375
2024-11-19,1.15316,1.16263,1.15166,1.16081
2024-11-20,1.16202,1.16663,1.15783,1.15972
2024-11-21,1.15956,1.16275,1.15704,1.16185
2024-11-22,1.16202,1.16719,1.15777,1.1638
2024-11-25,1.16341,1.16569,1.15963,1.16022
2024-11-26,1.16296,1.16903,1.16026,1.1665
2024-11-27,1.16712,1.16849,1.15584,1.15721
2024-11-28,1.15578,1.16866,1.15413,1.16722
2024-11-29,1.16618,1.17228,1.16258,1.1692
2024-12-02,1.16899,1.17212,1.16819,1.17159
2024-12-03,1.17096,1.18803,1.16906,1.18394
2024-12-04,1.18214,1.18425,1.17168,1.17418
2024-12-05,1.17293,1.17509,1.16934,1.1718
2024-12-06,1.17288,1.174,1.1612,1.16424
2024-12-09,1.16366,1.16522,1.16059,1.16437
2024-12-10,1.16316,1.16911,1.15906,1.16734
2024-12-11,1.16788,1.18158,1.1671,1.17981
2024-12-12,1.18048,1.1854,1.17797,1.18033
2024-12-13,1.18098,1.18367,1.17661,1.1794
2024-12-16,1.17802,1.1794,1.1748,1.17748
2024-12-17,1.17795,1.18377,1.17417,1.17873
2024-12-18,1.17817,1.17963,1.16776,1.17321
2024-12-19,1.17412,1.18694,1.17085,1.18143
2024-12-20,1.17889,1.18117,1.17217,1.17471
2024-12-23,1.17334,1.17804,1.16466,1.16858
2024-12-24,1.16837,1.17502,1.16509,1.16669
2024-12-25,1.16761,1.17845,1.16193,1.17304
2024-12-26,1.1734,1.18636,1.17061,1.18217
2024-12-27,1.18243,1.18983,1.18031,1.18721
2024-12-30,1.18575,1.18778,1.17939,1.18054
2024-12-31,1.18322,1.18581,1.17909,1.18389
2025-01-01,1.18648,1.19156,1.18288,1.18997
2025-01-02,1.18999,1.19094,1.18674,1.18788
2025-01-03,1.18462,1.19277,1.18145,1.1902
2025-01-06,1.19063,1.19411,1.18838,1.19228
2025-01-07,1.19417,1.19636,1.18555,1.18844
2025-01-08,1.18862,1.19774,1.18717,1.197
2025-01-09,1.19451,1.20119,1.19186,1.19878
2025-01-10,1.19886,1.20127,1.18904,1.19041
2025-01-13,1.19069,1.19989,1.18748,1.1954
2025-01-14,1.19525,1.20443,1.19056,1.20227
2025-01-15,1.20109,1.20267,1.19286,1.19425
2025-01-16,1.19289,1.20683,1.19011,1.20358
2025-01-17,1.20657,1.20713,1.20173,1.20434
2025-01-20,1.20505,1.20638,1.1998,1.20073
2025-01-21,1.20308,1.20641,1.189,1.19295
2025-01-22,1.19288,1.20573,1.19129,1.20458
2025-01-23,1.20661,1.2086,1.19937,1.20213
2025-01-24,1.20332,1.20493,1.18943,1.19114
2025-01-27,1.19146,1.19419,1.18424,1.18696
2025-01-28,1.18516,1.18998,1.17478,1.17666
2025-01-29,1.17922,1.18235,1.17608,1.18114
2025-01-30,1.17945,1.1862,1.17625,1.18173
2025-01-31,1.18123,1.18393,1.17512,1.17975
2025-02-03,1.17698,1.18128,1.17602,1.17954
2025-02-04,1.17771,1.18258,1.16881,1.1718
2025-02-05,1.17321,1.18715,1.1717,1.18278
2025-02-06,1.18389,1.18735,1.17716,1.18294
2025-02-07,1.18459,1.18792,1.17677,1.18176
2025-02-10,1.18131,1.1902,1.17693,1.18965
