date,open,high,low,close
2023-09-14,2005.61,2011.37,1967.72,1979.37
2023-09-15,1972.5,1982.52,1966.27,1977.24
2023-09-18,1977.92,1980.39,1963.44,1965.99
2023-09-19,1965.58,1979.07,1957.87,1969.53
2023-09-20,1973.28,1987.15,1949.94,1954.84
2023-09-21,1947.44,1951.59,1928.2,1936.08
2023-09-22,1940.07,1960.78,1917.71,1950.63
2023-09-25,1952.22,1987.97,1948.07,1978.58
2023-09-26,1973.21,2002.12,1962.14,1990.92
2023-09-27,1990.73,2022.66,1988.57,2008.27
2023-09-28,2006.04,2021.82,1999.02,2006.74
2023-09-29,2007.46,2013.07,1988.85,1999.26
2023-10-02,2002.76,2007.08,1977.83,1991.39
2023-10-03,1993.4,2009.75,1983.81,2000.22
2023-10-04,1996.06,2030.34,1991.53,2013.25
2023-10-05,2020.61,2040.03,2010.66,2035.3
2023-10-06,2043.21,2053.34,2000.3,2016.38
2023-10-09,2022.71,2052.75,2015.95,2036.24
2023-10-10,2033.87,2053.69,2017.84,2022.32
2023-10-11,2019.27,2025.07,1988.16,1996.64
2023-10-12,1991.57,2055.12,1981.77,2043.69
2023-10-13,2045.54,2050.32,2000.69,2010.26
2023-10-16,2016.73,2034.02,2004.23,2023.35
2023-10-17,2028.56,2046.24,2016.04,2038.34
2023-10-18,2046.12,2062.72,2039.06,2053.03
2023-10-19,2054.49,2073.66,2043.07,2054.96
2023-10-20,2057.98,2097.08,2053.46,2094.09
2023-10-23,2092.94,2119.92,2089.19,2110.49
2023-10-24,2113.03,2116.34,2089.51,2103.58
2023-10-25,2111.28,2149.61,2108.97,2145.9
2023-10-26,2145.7,2149.95,2135.66,2141.36
2023-10-27,2153.48,2178.53,2141.89,2172.92
2023-10-30,2171.28,2196.06,2155.72,2178.65
2023-10-31,2176.13,2187.88,2148.81,2161.73
2023-11-01,2168.19,2179.71,2161.77,2173.87
2023-11-02,2170.29,2172.64,2152.6,2158.02
2023-11-03,2172.34,2234.73,2165.15,2212.6
2023-11-06,2215.23,2221.93,2189.97,2206.83
2023-11-07,2204.38,2233.64,2198.89,2215.9
2023-11-08,2218.96,2240.74,2177.94,2188.93
2023-11-09,2188.33,2209.04,2168.14,2187.66
2023-11-10,2180.72,2202.68,2177.57,2199.06
2023-11-13,2198.68,2217.25,2181.43,2193.34
2023-11-14,2196.65,2234.64,2192.2,2215.39
2023-11-15,2214.76,2247.07,2201.23,2236.04
2023-11-16,2230.74,2245.8,2195.77,2199.38
2023-11-17,2200.15,2238.71,2193.66,2231.45
2023-11-20,2236.16,2262.66,2214.53,2222.91
2023-11-21,2226.28,2228.75,2220.64,2226.2
2023-11-22,2224.64,2238.19,2217.38,2233.93
2023-11-23,2233,2258.44,2221.09,2244.22
2023-11-24,2254.56,2265,2249.15,2255.1
2023-11-27,2269.59,2272.66,2244.39,2246.5
2023-11-28,2243.4,2250.74,2186.75,2193.61
2023-11-29,2203.03,2207.77,2175.66,2190.98
2023-11-30,2190.7,2205,2176.3,2181.84
2023-12-01,2186.93,2203.89,2184.72,2198.65
2023-12-04,2202.92,2225.67,2192.53,2215.17
2023-12-05,2212.03,2240.47,2210.05,2235.81
2023-12-06,2233.47,2240.22,2202.3,2209.17
2023-12-07,2205.34,2223.35,2197.27,2215.95
2023-12-08,2213.21,2236.54,2208.2,2231.63
2023-12-11,2230.79,2239.62,2201.84,2221.71
2023-12-12,2227.61,2258.31,2219.46,2245.41
2023-12-13,2236.52,2258.24,2208.14,2226.71
2023-12-14,2226.2,2240.89,2223.47,2225.64
2023-12-15,2226.1,2239.2,2174.87,2191.29
2023-12-18,2187.73,2205,2161.66,2166.12
2023-12-19,2171.4,2189.99,2163.81,2182.46
2023-12-20,2176.5,2185.23,2156.41,2173.48
2023-12-21,2166.1,2203.1,2140.49,2192.67
2023-12-22,2190.58,2227.67,2165.52,2212.08
2023-12-25,2216.2,2230.68,2199.56,2210.86
2023-12-26,2211.42,2233.26,2166.79,2188.48
2023-12-27,2183.88,2205.11,2161.56,2195.17
2023-12-28,2189.2,2205.15,2176.31,2178.75
2023-12-29,2176.82,2182.06,2140.23,2151.45
2024-01-01,2145.89,2154.52,2081.61,2094.19
2024-01-02,2091.68,2105.14,2058.66,2075.23
2024-01-03,2072.19,2098.77,2063.39,2092.43
2024-01-04,2097.06,2130.81,2074.89,2123.36
2024-01-05,2122.32,2131.07,2064.27,2093.8
2024-01-08,2084.74,2091.01,2065.83,2079.15
2024-01-09,2071.52,2083.54,2059.41,2076.54
2024-01-10,2072.9,2094.86,2068.58,2078.36
2024-01-11,2082.59,2130.57,2070.24,2125.24
2024-01-12,2118.14,2121.19,2105.42,2119.27
2024-01-15,2112.6,2120.84,2098.13,2110.8
2024-01-16,2116.56,2129.29,2107.09,2124.96
2024-01-17,2121.65,2132.95,2105.48,2117.11
2024-01-18,2126,2147.92,2120.38,2133.57
2024-01-19,2131.4,2145.92,2094.47,2103.01
2024-01-22,2107.93,2114.55,2094.56,2106.78
2024-01-23,2099.26,2150.06,2081.62,2141.51
2024-01-24,2142.29,2185.24,2130.94,2167.72
2024-01-25,2174.54,2183.41,2158.21,2170.17
2024-01-26,2166.22,2184.57,2136.98,2149.58
2024-01-29,2147.56,2150.9,2121.19,2142.98
2024-01-30,2138.72,2144.82,2114.92,2119.37
2024-01-31,2123.4,2129.7,2117.62,2126.01
2024-02-01,2121.87,2162.64,2115.87,2141.96
2024-02-02,2135.25,2140.65,2119.7,2125.86
2024-02-05,2138.54,2152.36,2123.19,2136.68
