date,open,high,low,close
2023-09-14,150.065,151.42,149.565,150.599
2023-09-15,150.677,151.148,149.879,150.23
2023-09-18,150.019,150.458,149.596,149.854
2023-09-19,150.105,151.746,149.876,151.138
2023-09-20,151.681,152.061,151.307,151.487
2023-09-21,151.031,151.424,150.059,150.594
2023-09-22,150.758,151.997,150.174,151.719
2023-09-25,151.898,154.053,151.619,153.584
2023-09-26,153.674,154.818,153.384,154.426
2023-09-27,154.842,154.998,153.154,153.256
2023-09-28,153.353,153.861,152.248,152.475
2023-09-29,152.559,153.746,151.999,153.458
2023-10-02,153.548,154.159,152.31,152.749
2023-10-03,153.105,153.311,152.604,152.839
2023-10-04,152.728,154.268,152.184,153.792
2023-10-05,153.706,154.861,152.969,154.428
2023-10-06,154.537,155.349,153.705,154.406
2023-10-09,154.069,154.241,153.204,153.338
2023-10-10,153.511,155.419,153.223,154.569
2023-10-11,154.715,155.645,153.943,155.355
2023-10-12,155.454,155.991,155.036,155.697
2023-10-13,155.665,157.029,154.48,155.207
2023-10-16,155.546,156.106,154.871,155.391
2023-10-17,155.204,155.571,154.085,154.385
2023-10-18,154.025,154.994,153.607,154.433
2023-10-19,154.519,154.78,154.097,154.494
2023-10-20,154.625,154.777,153.192,153.455
2023-10-23,153.456,154.809,153.295,154.549
2023-10-24,154.621,154.963,154.005,154.402
2023-10-25,154.015,154.884,153.69,154.528
2023-10-26,154.308,156.011,153.462,155.593
2023-10-27,155.508,156.664,155.362,156.138
2023-10-30,156.333,157.276,155.783,156.952
2023-10-31,156.675,157.069,154.873,155.782
2023-11-01,155.958,158.688,155.665,157.748
2023-11-02,158.212,158.567,157.933,158.104
2023-11-03,157.975,158.618,157.664,158.073
2023-11-06,157.936,159.094,157.654,158.967
2023-11-07,159.198,159.472,158.663,159.077
2023-11-08,158.898,159.084,157.914,158.793
2023-11-09,158.848,159.419,157.119,157.453
2023-11-10,157.443,158.342,156.871,158.123
2023-11-13,158.606,160.441,157.656,159.58
2023-11-14,159.34,159.723,158.274,158.608
2023-11-15,158.727,159.399,156.235,156.487
2023-11-16,156.278,156.731,155.667,156.045
2023-11-17,156.25,156.497,155.391,155.58
2023-11-20,155.454,156.197,154.633,155.69
2023-11-21,156.131,156.533,155.488,155.917
2023-11-22,156.099,156.443,155.59,156.158
2023-11-23,155.914,156.717,154.642,154.944
2023-11-24,154.966,155.295,153.97,154.391
2023-11-27,154.482,154.693,154.278,154.466
2023-11-28,154.318,154.825,153.346,153.896
2023-11-29,154.096,154.705,153.898,154.589
2023-11-30,154.422,155.043,153.915,154.307
2023-12-01,154.139,154.485,153.86,153.996
2023-12-04,153.861,154.084,153.37,153.547
2023-12-05,153.574,154.901,153.415,154.342
2023-12-06,154.751,155.245,153.43,153.75
2023-12-07,153.541,153.938,152.343,152.62
2023-12-08,152.513,152.91,151.393,151.654
2023-12-11,151.627,152.89,151.303,152.807
2023-12-12,152.719,152.917,152.113,152.311
2023-12-13,152.233,152.876,151.951,152.359
2023-12-14,152.48,152.928,150.754,151.407
2023-12-15,151.622,153.393,151.113,152.912
2023-12-18,153.017,153.356,151.86,152.267
2023-12-19,152.173,152.576,151.711,152.096
2023-12-20,152.149,153.143,151.884,152.851
2023-12-21,153.031,153.745,151.804,152.266
2023-12-22,152.216,152.859,152.14,152.566
2023-12-25,152.449,152.683,151.208,151.645
2023-12-26,151.635,152.573,151.467,152.211
2023-12-27,151.799,153.444,150.846,153.088
2023-12-28,153.398,155.086,153.216,154.521
2023-12-29,154.267,154.755,152.716,153.115
2024-01-01,152.968,153.205,151.953,152.478
2024-01-02,151.978,153.507,151.049,152.817
2024-01-03,152.739,152.88,152.406,152.481
2024-01-04,152.691,152.831,152.17,152.304
2024-01-05,151.949,152.693,151.408,152.057
2024-01-08,151.915,152.159,151.369,151.683
2024-01-09,151.5,151.896,150.501,150.899
2024-01-10,150.653,151.537,150.141,151.244
2024-01-11,151.23,152.127,150.897,151.794
2024-01-12,151.713,152.358,149.696,150.195
2024-01-15,149.945,151.072,149.646,150.643
2024-01-16,150.633,151.334,150.366,151.069
2024-01-17,151.139,151.764,150.215,150.844
2024-01-18,151.157,152.221,150.526,151.956
2024-01-19,151.834,152.729,151.347,152.343
2024-01-22,151.905,152.635,150.824,151.578
2024-01-23,151.861,152.205,149.976,150.397
2024-01-24,150.504,150.938,149.641,150.271
2024-01-25,150.512,150.993,150.299,150.596
2024-01-26,150.477,150.738,148.969,149.488
2024-01-29,149.155,149.795,148.823,149.293
2024-01-30,149.272,150.212,148.761,149.921
2024-01-31,149.569,150.082,148.859,149.753
2024-02-01,149.582,150.074,148.519,148.764
2024-02-02,148.704,151.013,148.179,150.36
2024-02-05,150.255,151.722,149.551,151.504
2024-02-06,151.433,151.663,151.31,151.474
2024-02-07,151.597,151.712,150.762,150.929
2024-02-08,151.331,151.815,149.576,150.015
2024-02-09,150.095,150.187,149.637,149.799
2024-02-12,149.892,151.556,149.411,151.162
2024-02-13,151.084,151.504,150.046,150.757
2024-02-14,150.687,150.802,149.543,150.205
2024-02-15,150.402,150.899,148.17,148.398
2024-02-16,148.534,148.811,146.774,147.292
2024-02-19,147.387,147.941,146.605,147.124
2024-02-20,146.958,147.266,146.405,146.701
2024-02-21,147.07,147.961,146.736,147.36
2024-02-22,147.426,148.834,147.241,148.233
2024-02-23,148.031,148.542,147.479,147.818
2024-02-26,147.834,148.721,146.982,147.682
2024-02-27,148.015,149.947,147.674,149.536
2024-02-28,149.682,151.13,149.522,150.571
2024-02-29,150.752,150.891,150.12,150.486
2024-03-01,150.642,151.608,149.541,150.991
2024-03-04,151.411,152.502,150.567,152.139
2024-03-05,151.743,151.836,151.064,151.59
2024-03-06,151.712,151.91,151.441,151.597
2024-03-07,151.791,152.206,151.247,151.427
2024-03-08,151.753,152.184,150.829,151.232
2024-03-11,151.255,151.8,149.649,150.678
2024-03-12,150.745,151.581,150.206,151.194
2024-03-13,150.889,151.722,150.379,151.342
2024-03-14,151.591,151.922,149.52,150.281
2024-03-15,150.144,150.407,148.892,149.024
2024-03-18,148.941,149.696,147.756,148.017
2024-03-19,147.938,149.54,147.715,149.358
2024-03-20,149.205,149.627,148.134,148.655
2024-03-21,148.549,149,147.756,148.002
2024-03-22,148.165,148.46,147.44,147.963
2024-03-25,148.355,149.367,148.16,149.15
2024-03-26,148.962,149.285,147.809,148.097
2024-03-27,148.049,148.44,147.712,148.066
2024-03-28,148.204,149.005,147.132,147.547
2024-03-29,147.487,150.251,147.186,149.116
2024-04-01,148.941,149.411,148.018,149.118
2024-04-02,149.017,150.169,148.068,149.233
2024-04-03,149.244,150.117,149.14,149.793
2024-04-04,149.182,149.992,146.915,147.482
2024-04-05,147.524,147.731,146.069,146.751
2024-04-08,146.805,147.113,145.89,146.141
2024-04-09,145.657,146.169,143.729,144.339
2024-04-10,144.743,146.408,144.375,146.035
2024-04-11,146.031,146.374,145.858,146.175
2024-04-12,146.094,146.558,145.645,146.326
