sku,title,listed_on,observed_on,views,watchers,sold
LENS-002,Konica Hexanon AR 40mm F1.8,2026-07-20,2026-08-16,118,3,0
PEN-001,Pilot Custom 823 fountain pen amber,2026-08-10,2026-08-16,29,1,0
VINYL-001,山下達郎 FOR YOU 帯付 LP,2026-08-01,2026-08-16,71,0,0
REEL-001,Shimano Stella 2500 spinning reel,2026-07-01,2026-08-16,5,0,0
FIG-001,限定フィギュア 2016年版（外箱付き）,2026-05-01,2026-08-16,21,0,0
LENS-002,Konica Hexanon AR 40mm F1.8,2026-07-20,2026-08-23,142,5,1
PEN-001,Pilot Custom 823 fountain pen amber,2026-08-10,2026-08-23,63,4,0
VINYL-001,山下達郎 FOR YOU 帯付 LP,2026-08-01,2026-08-23,98,0,0
REEL-001,Shimano Stella 2500 spinning reel,2026-07-01,2026-08-23,6,0,0
FIG-001,限定フィギュア 2016年版（外箱付き）,2026-05-01,2026-08-23,21,0,0
LENS-001,Nikon Ai-s 50mm F1.2 manual lens,2026-08-18,2026-08-23,12,1,0
